RI_2013,RI_2014,RI_2015,RI_2016,RI_2017,RI_2018,RI_2019,RI_2020
0,0,0,0,0,0,0,0
0,0,0,0,-1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,-1,0,0,0,0
0,0,0,0,0,0,0,0
0.653562654,0.66122449,0.119047619,0.38410596,-0.488135593,0.031358885,0.38071066,0.941176471
0.824146982,-0.116009281,0.107969152,0.454205607,-0.405345212,0.01920904,0.092171717,1.527472527
4.185185185,-0.08988764,-0.49132948,0,-1,-0.086419753,-0.069767442,2.866666667
1.305732484,-0.168316832,-0.025806452,0,-1,0,0,1.353658537
17.61111111,0.9,0,#DIV/0!,-1,0,0,9.333333333
0.808,0.384615385,-0.071428571,9.888888889,-0.85,0.578947368,-0.078947368,2.6
0.595166163,0.396624473,0.087155963,0.074257426,-0.231060606,0,0.49122807,0.903614458
2.716494845,-0.053921569,-0.07239819,9.476190476,-0.845588235,0.225225225,0,2.685714286
1.944915254,0.053571429,-0.118110236,1.466019417,0.132867133,-0.033783784,0.107344633,0.476635514
0.39632107,0.128301887,0.241217799,2.147058824,-0.470817121,0.188940092,0.121693122,1.444444444
0.803252033,-0.181333333,-0.091898428,0.909930716,-0.164410058,2.292993631,-0.012578616,0.757062147
0.170408163,0.027253669,0.004210526,7.333333333,-0.739229025,1.45,0.755102041,0.705263158
0.962373372,-0.087788779,-0.002631579,2.680387409,-0.447121821,0.222222222,0.013311148,0.94
0.157894737,-0.166666667,0.095238095,#DIV/0!,-1,-0.375,-0.363636364,0.571428571
0.470588235,0.046153846,-0.379746835,23.30769231,-0.904,0.582278481,-0.276190476,1.093023256
0.398550725,0.078125,-0.278873239,1.950207469,-0.174657534,0.010380623,0.241071429,1.327586207
0.469465649,-0.015037594,-0.044883303,2.077348066,-0.133971292,-0.167330677,0.103139013,1.194444444
0.718337731,0.207006369,-0.108587651,1.287337662,-0.561675718,-0.033733133,0.017705928,0.989487516
0.673669468,-0.139759036,0.123139378,0.730679157,-0.505787037,0.876086957,0,1.114982578
0.207093822,0.109275731,0.088520055,0.409356725,-0.397887324,0.342271293,0,0.956521739
0.377723971,-0.016666667,1.164948454,-0.114155251,0.037735849,0.177777778,-0.072916667,0.953271028
1.537717602,0.138461538,1.708333333,0.357723577,-0.71559633,0.540636042,0.062271062,0.798319328
0.443298969,0.272131148,-0.177897574,-0.043814433,0.026525199,-0.007915567,0.093023256,0.517605634
0.327868852,0.020920502,0.066964286,0.866666667,-1.316939891,0.067137809,0.056390977,0.454545455
0.17219917,-0.028254289,0.201212121,0.011029412,-0.380880121,-0.0082769,0.002262443,1.116167665
0.707482993,-0.026490066,0.819277108,0.58490566,-0.607407407,0.285714286,0.03960396,-0.045454545
0.980392157,-0.031847134,-0.629716981,37.54545455,-0.925170068,-0.08125,-0.377118644,0.625
2.793650794,0.575,-0.122222222,2.25,-0.398305085,-0.032520325,-0.016,1.386363636
0.855311355,-0.09,0.024096386,-0.336673347,-0.060263653,25.55,0,1.375
0.529411765,0.092675635,-0.262114537,0.96112311,-0.010683761,0.056306306,0,1.190871369
0.242788462,0.069319641,0.069958848,0.026760563,0.007092199,0.012912482,0.004322767,0.899659864
0.948207171,-0.324396783,-0.013227513,0.26,-0.448529412,0.593023256,0,0.87537092
0.105548038,-0.048387097,-0.023066486,7.879518072,-0.82815735,0.029787234,0,1.222826087
0.24853114,0.009489917,-0.115949633,0.306849315,-0.050293926,0.015201586,-0.026692708,1.621444201
0.338416848,0.010279001,0.19352014,0.300683371,0.387045814,0.367170626,0.040632054,1.210526316
0.464788732,0.109375,0,#DIV/0!,-1,0.016528926,-0.129496403,#DIV/0!
0.123157895,-0.046184739,0.045120672,0.263576159,-0.091456077,0.077821012,-0.009020619,0.897233202
0.140093787,0.058312655,0.114029026,0.386015326,0.12378902,-0.030271399,0.175438596,0.203954214
0.605654762,-0.11695138,0.079432624,0.020260492,-0.036262204,0.076576577,0.020186335,0.793587174
0.484182777,-0.042087542,0.113402062,0.787269682,-0.285885167,0.44137931,0.034545455,1.163265306
0.548048048,0.01914242,0.472378805,-0.192167577,0.161904762,0.179775281,-0.008663366,3.245283019
0.421991085,0.054945055,0.147747748,-0.056122449,0.511568123,0.096045198,0.389344262,1.533333333
0.877142857,0.263537906,0.775641026,-0.227722772,0.035897436,0.196319018,0.183098592,2.24
1.61878453,-0.154205607,0.151351351,1.010869565,-0.089108911,-0.019417476,0.38028169,0.476190476
0.638277512,-0.015080113,0.240935673,-0.059405941,-0.088176353,0.144977169,0,0.983606557
0.967078189,0.038461538,0.372434018,1.023809524,-0.389090909,0.339805825,0,2.018518519
2.788288288,0.187165775,0.364963504,-0.179640719,0.184397163,-0.298507463,0.471014493,0.480519481
1.539370079,-0.079422383,0.053435115,-0.015037594,-0.10738255,0,0.020618557,24.4
1.390909091,-0.004535147,0.245762712,-0.247334755,-0.020833333,0.054945055,0.1175,1.921348315
-0.268965517,1.027777778,0.392156863,0.444444444,-0.555555556,0.012345679,0.025316456,#DIV/0!
0.877862595,-0.142389525,-0.123209169,0.408080808,1.22972973,0.181818182,0,0.983333333
0.957055215,-0.170918367,0.342465753,0.221757322,1.19266055,1.658536585,0.142857143,3
0.792605951,-0.011596789,-0.001780944,0.011711712,1.649164678,0.029484029,0,0
0.491635688,-0.20678216,0.317629917,0.044647387,0.021772939,2.259696459,0.132038835,0.214285714
